2024/12/07 22:17:59.189, Quadro RTX 6000, 5574 MiB, 24576 MiB, 45
2024/12/07 22:18:09.250, Quadro RTX 6000, 5574 MiB, 24576 MiB, 45
2024/12/07 22:18:19.309, Quadro RTX 6000, 5574 MiB, 24576 MiB, 44
2024/12/07 22:18:29.358, Quadro RTX 6000, 5584 MiB, 24576 MiB, 44
2024/12/07 22:18:39.399, Quadro RTX 6000, 5570 MiB, 24576 MiB, 44
2024/12/07 22:18:49.459, Quadro RTX 6000, 5570 MiB, 24576 MiB, 43
2024/12/07 22:18:59.558, Quadro RTX 6000, 5594 MiB, 24576 MiB, 43
2024/12/07 22:19:09.598, Quadro RTX 6000, 5569 MiB, 24576 MiB, 42
2024/12/07 22:19:19.638, Quadro RTX 6000, 19658 MiB, 24576 MiB, 58
2024/12/07 22:19:29.678, Quadro RTX 6000, 19658 MiB, 24576 MiB, 65
2024/12/07 22:19:39.718, Quadro RTX 6000, 19657 MiB, 24576 MiB, 71
2024/12/07 22:19:49.768, Quadro RTX 6000, 19682 MiB, 24576 MiB, 67
2024/12/07 22:19:59.808, Quadro RTX 6000, 5587 MiB, 24576 MiB, 64
2024/12/10 19:08:00.070, Quadro RTX 6000, 436 MiB, 24576 MiB, 34
2024/12/10 19:08:10.129, Quadro RTX 6000, 2968 MiB, 24576 MiB, 36
2024/12/10 19:08:20.190, Quadro RTX 6000, 2962 MiB, 24576 MiB, 37
2024/12/10 19:08:30.288, Quadro RTX 6000, 2954 MiB, 24576 MiB, 37
2024/12/10 19:08:40.339, Quadro RTX 6000, 2954 MiB, 24576 MiB, 36
2024/12/10 19:08:50.388, Quadro RTX 6000, 2964 MiB, 24576 MiB, 36
2024/12/10 19:11:34.159, Quadro RTX 6000, 461 MiB, 24576 MiB, 36
2024/12/10 19:11:44.209, Quadro RTX 6000, 2985 MiB, 24576 MiB, 37
2024/12/10 19:11:54.269, Quadro RTX 6000, 2965 MiB, 24576 MiB, 38
2024/12/10 19:12:04.329, Quadro RTX 6000, 2965 MiB, 24576 MiB, 37
2024/12/10 19:12:14.350, Quadro RTX 6000, 2979 MiB, 24576 MiB, 37
2024/12/10 19:15:24.808, Quadro RTX 6000, 460 MiB, 24576 MiB, 36
2024/12/10 19:15:34.897, Quadro RTX 6000, 2976 MiB, 24576 MiB, 38
2024/12/10 19:15:44.960, Quadro RTX 6000, 2964 MiB, 24576 MiB, 39
2024/12/10 19:15:55.009, Quadro RTX 6000, 2964 MiB, 24576 MiB, 37
2024/12/10 19:18:47.098, Quadro RTX 6000, 468 MiB, 24576 MiB, 36
2024/12/10 19:18:57.140, Quadro RTX 6000, 2981 MiB, 24576 MiB, 38
2024/12/10 19:19:07.198, Quadro RTX 6000, 2969 MiB, 24576 MiB, 39
2024/12/10 19:19:17.249, Quadro RTX 6000, 2969 MiB, 24576 MiB, 38
2024/12/10 19:25:38.698, Quadro RTX 6000, 451 MiB, 24576 MiB, 37
